price_usd,price_byn,subway_stat,rooms_num,publication_date
330 $,1 048 BYN,ПлощадьЛенина,1комната,17июня
353 $,1 120 BYN,,1комната,17июня
755 $,2 400 BYN,,2комнаты,17июня
252 $,800 BYN,Автозаводская,1комната,16июня
300 $,953 BYN,Пушкинская,1комната,15июня
293 $,930 BYN,Аэродромная,1комната,14июня
293 $,930 BYN,Аэродромная,1комната,14июня
200 $,635 BYN,,1комната,14июня
400 $,1 271 BYN,,1комната,13июня
1 500 $,4 765 BYN,,5комнат,13июня
550 $,1 747 BYN,,2комнаты,13июня
299 $,950 BYN,Уручье,1комната,12июня
551 $,1 752 BYN,Академиянаук,3комнаты,12июня
350 $,1 112 BYN,Серебрянка,2комнаты,12июня
652 $,2 071 BYN,Московская,1комната,12июня
852 $,2 708 BYN,Лебяжий,3комнаты,12июня
300 $,953 BYN,Тракторныйзавод,2комнаты,10июня
450 $,1 430 BYN,МинскМир,1комната,9июня
400 $,1 271 BYN,Пушкинская,3комнаты,8июня
263 $,835 BYN,Академиянаук,1комната,8июня
480 $,1 526 BYN,Кунцевщина,3комнаты,7июня
551 $,1 749 BYN,Московская,2комнаты,7июня
550 $,1 747 BYN,,1комната,7июня
300 $,953 BYN,Каменнаягорка,2комнаты,6июня
220 $,699 BYN,Пушкинская,1комната,6июня
950 $,3 018 BYN,,3комнаты,6июня
409 $,1 300 BYN,ПлощадьЯкубаКоласа,1комната,5июня
1 102 $,3 500 BYN,Молодёжная,3комнаты,5июня
409 $,1 300 BYN,ПлощадьЯкубаКоласа,1комната,5июня
283 $,900 BYN,Академиянаук,1комната,4июня
606 $,1 925 BYN,Лебяжий,2комнаты,3июня
504 $,1 600 BYN,Аэродромная,2комнаты,3июня
123 $,390 BYN,Автозаводская,1комната,2июня
250 $,794 BYN,Институткультуры,1комната,1июня
320 $,1 017 BYN,Чижовка,2комнаты,31мая
652 $,2 071 BYN,,2комнаты,30мая
220 $,700 BYN,Тракторныйзавод,1комната,29мая
997 $,3 167 BYN,Академиянаук,4комнаты,29мая
200 $,635 BYN,,1комната,29мая
550 $,1 747 BYN,,2комнаты,28мая
550 $,1 747 BYN,Веснянка,1комната,27мая
280 $,890 BYN,Лошица,1комната,26мая
200 $,635 BYN,Кунцевщина,1комната,25мая
350 $,1 112 BYN,Пушкинская,2комнаты,24мая
400 $,1 271 BYN,Чижовка,3комнаты,23мая
200 $,635 BYN,Спортивная,1комната,23мая
409 $,1 300 BYN,Московская,2комнаты,22мая
260 $,826 BYN,Малиновка,1комната,21мая
293 $,930 BYN,Курасовщина,2комнаты,20мая
470 $,1 493 BYN,Октябрьская/Купаловская,2комнаты,20мая
608 $,1 930 BYN,КовальскаяСлобода,3комнаты,18мая
597 $,1 898 BYN,Пролетарская,3комнаты,18мая
300 $,953 BYN,Серебрянка,2комнаты,16мая
200 $,635 BYN,,1комната,16мая
330 $,1 048 BYN,ПаркЧелюскинцев,2комнаты,16мая
362 $,1 150 BYN,,2комнаты,16мая
400 $,1 271 BYN,Малиновка,3комнаты,16мая
79 $,250 BYN,Партизанская,2комнаты,15мая
555 $,1 764 BYN,Фрунзенская,2комнаты,15мая
189 $,600 BYN,Автозаводская,2комнаты,14мая
353 $,1 120 BYN,Академиянаук,2комнаты,14мая
116 $,370 BYN,Каменнаягорка,2комнаты,14мая
283 $,900 BYN,Партизанская,2комнаты,14мая
161 $,510 BYN,,1комната,13мая
340 $,1 080 BYN,Лошица,2комнаты,13мая
335 $,1 065 BYN,Академиянаук,3комнаты,13мая
200 $,635 BYN,Спортивная,1комната,12мая
467 $,1 483 BYN,ПлощадьПобеды,2комнаты,11мая
280 $,890 BYN,,1комната,11мая
837 $,2 660 BYN,,4комнаты,10мая
300 $,953 BYN,,3комнаты,9мая
350 $,1 112 BYN,Комаровка,2комнаты,9мая
600 $,1 906 BYN,Московская,4комнаты,9мая
300 $,953 BYN,Академиянаук,1комната,8мая
700 $,2 224 BYN,Восток,2комнаты,8мая
300 $,953 BYN,Зелёныйлуг,1комната,7мая
352 $,1 117 BYN,Лошица,2комнаты,6мая
450 $,1 430 BYN,Каменнаягорка,3комнаты,6мая
370 $,1 175 BYN,Аэродромная,1комната,6мая
360 $,1 144 BYN,Кунцевщина,1комната,6мая
